title,link,image
Yael & Karylle,/album/4116524/video/89737290,https://i.vimeocdn.com/video/588707591_295x166.jpg
Oyo Sotto & Kristine Hermosa,/album/4116524/video/180421756,https://i.vimeocdn.com/video/588648526_295x166.jpg
Oyo & Tin Save the Date,/album/4116524/video/180416583,https://i.vimeocdn.com/video/588724944_295x166.jpg
Jojo Oconer & Ciara Sotto,/album/4116524/video/180418857,https://i.vimeocdn.com/video/588735467_295x166.jpg
Jun & Vanessa Matsunaga,/album/4116524/video/180399017,https://i.vimeocdn.com/video/588702725_295x166.jpg
Jaime & Nicole,/album/4116524/video/181036095,https://i.vimeocdn.com/video/589593151_295x166.jpg
Ardy & Miriam 15sec,/album/4116524/video/160197778,https://i.vimeocdn.com/video/588726189_295x166.jpg
Ardy & Miriam : 2 Years,/album/4116524/video/160198173,https://i.vimeocdn.com/video/588834227_295x166.jpg
Ardy Roberto + Miriam Quiambao,/album/4116524/video/90071278,https://i.vimeocdn.com/video/588734197_295x166.jpg
Banjo & Sarah Save the Date,/album/4116524/video/181036091,https://i.vimeocdn.com/video/589599807_295x166.jpg
Banjo & Sarah,/album/4116524/video/181036092,https://i.vimeocdn.com/video/589598563_295x166.jpg