title,link,image,
Ardy Roberto + Miriam Quiambao,/album/4116543/video/90071278,https://i.vimeocdn.com/video/588734197_295x166.jpg,//div[2]/div/p
Yael & Karylle,/album/4116543/video/89737290,https://i.vimeocdn.com/video/588707591_295x166.jpg,#N/A
Oyo Sotto & Kristine Hermosa,/album/4116543/video/180421756,https://i.vimeocdn.com/video/588648526_295x166.jpg,
Paolo & Kate,/album/4116543/video/180409109,https://i.vimeocdn.com/video/589258252_295x166.jpg,
Jaime & Nicole,/album/4116543/video/181036095,https://i.vimeocdn.com/video/589593151_295x166.jpg,
Jojo Oconer & Ciara Sotto,/album/4116543/video/180418857,https://i.vimeocdn.com/video/588735467_295x166.jpg,
Jatinder & Hardeep,/album/4116543/video/92924962,https://i.vimeocdn.com/video/588800409_295x166.jpg,
Paulo & Camille,/album/4116543/video/159776544,https://i.vimeocdn.com/video/588702476_295x166.jpg,
Justin & Isabel,/album/4116543/video/180399040,https://i.vimeocdn.com/video/588652084_295x166.jpg,
Jun & Vanessa Matsunaga,/album/4116543/video/180399017,https://i.vimeocdn.com/video/588702725_295x166.jpg,
Andrew+Isabella,/album/4116543/video/150783344,https://i.vimeocdn.com/video/588790192_295x166.jpg,
Den & Chin,/album/4116543/video/180726159,https://i.vimeocdn.com/video/589146434_295x166.jpg,
Marvs + Issa,/album/4116543/video/119131580,https://i.vimeocdn.com/video/589511028_295x166.jpg,
Tim and Evadne,/album/4116543/video/121169173,https://i.vimeocdn.com/video/589176291_295x166.jpg,
Banjo & Sarah,/album/4116543/video/181036092,https://i.vimeocdn.com/video/589598563_295x166.jpg,
Edward & Roberta,/album/4116543/video/181036094,https://i.vimeocdn.com/video/589594174_295x166.jpg,
SDE : Oliver+Jenica,/album/4116543/video/138508519,https://i.vimeocdn.com/video/588815804_295x166.jpg,
Paolo and Pier,/album/4116543/video/121169172,https://i.vimeocdn.com/video/589171869_295x166.jpg,
Emman & Paula : SDE,/album/4116543/video/104519020,https://i.vimeocdn.com/video/589181120_295x166.jpg,
Art & Mika,/album/4116543/video/120040905,https://i.vimeocdn.com/video/589509674_295x166.jpg,
Toto & Ging,/album/4116543/video/132092876,https://i.vimeocdn.com/video/589030542_295x166.jpg,
Morny and Mai,/album/4116543/video/121096809,https://i.vimeocdn.com/video/589503537_295x166.jpg,
Pike & Chelly,/album/4116543/video/154158323,https://i.vimeocdn.com/video/589410492_295x166.jpg,
Mike & Tricia,/album/4116543/video/180405920,https://i.vimeocdn.com/video/589265119_295x166.jpg,
Jobim and Kat,/album/4116543/video/121096807,https://i.vimeocdn.com/video/589506539_295x166.jpg,
0522 Bryan+Josan,/album/4116543/video/167778097,https://i.vimeocdn.com/video/588965296_295x166.jpg,
Vincent+Eva,/album/4116543/video/144706825,https://i.vimeocdn.com/video/588966757_295x166.jpg,
Arvin+Grace,/album/4116543/video/173121545,https://i.vimeocdn.com/video/588814599_295x166.jpg,
Adrian & Rose,/album/4116543/video/65567247,https://i.vimeocdn.com/video/589200101_295x166.jpg,
Danny + Sam : Baguio City,/album/4116543/video/149873167,https://i.vimeocdn.com/video/588817857_295x166.jpg,
Surigao del Norte: Sherwin + Wena,/album/4116543/video/85017511,https://i.vimeocdn.com/video/589193796_295x166.jpg,